"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\TableOfContentsStatic\styles.css", "CSS", 0, 8, 0, 0, 2, 10
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\Veil\index.js", "JavaScript", 21, 0, 0, 1, 5, 27
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\Veil\styles.css", "CSS", 0, 24, 0, 0, 3, 27
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\VerseText\index.js", "JavaScript", 22, 0, 0, 2, 10, 34
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\VerseText\styles.css", "CSS", 0, 3, 0, 2, 1, 6
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\Verse\index.js", "JavaScript", 34, 0, 0, 4, 15, 53
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\Verse\styles.css", "CSS", 0, 45, 0, 0, 10, 55
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\data\books.js", "JavaScript", 68, 0, 0, 0, 0, 68
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\data\sections.js", "JavaScript", 112, 0, 0, 0, 12, 124
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\data\testaments.js", "JavaScript", 77, 0, 0, 0, 5, 82
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\data\translations.js", "JavaScript", 6, 0, 0, 0, 0, 6
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\helpers\fillTableOfContents.js", "JavaScript", 41, 0, 0, 4, 7, 52
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\helpers\formFunctions.js", "JavaScript", 44, 0, 0, 6, 10, 60
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\helpers\index.js", "JavaScript", 172, 0, 0, 11, 41, 224
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\hooks\useFetchReference.js", "JavaScript", 122, 0, 0, 16, 50, 188
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\hooks\useFetchVerses.js", "JavaScript", 89, 0, 0, 8, 33, 130
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\hooks\useWindowSize.js", "JavaScript", 17, 0, 0, 2, 6, 25
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\close-menu.svg", "XML", 0, 0, 3, 0, 1, 4
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\close-pane-inverse.svg", "XML", 0, 0, 3, 0, 1, 4
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\close-pane.svg", "XML", 0, 0, 3, 0, 0, 3
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\cross.svg", "XML", 0, 0, 4, 0, 1, 5
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\finger.svg", "XML", 0, 0, 11, 0, 1, 12
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\jam_menu.svg", "XML", 0, 0, 3, 0, 1, 4
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\magnifying-glass-brown.svg", "XML", 0, 0, 3, 0, 1, 4
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\magnifying-glass-green.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\manage-search.svg", "XML", 0, 0, 6, 0, 1, 7
